Policy: 
state -> action, value-function
0:1:1:0:1:0:0:0 -> PS, 85.6528117539
0:0:0:1:0:1:1:0 -> PS, 45.0122299498
1:0:1:0:0:0:0:0 -> PS, 45.2316202673
0:0:0:1:0:1:0:0 -> WE, 0.0
0:1:0:1:1:1:0:1 -> WE, 43.3761776172
0:1:0:1:1:1:0:0 -> WE, 43.3761776172
1:1:0:1:0:1:1:0 -> WE, 49.4602310892
1:1:0:1:0:1:1:1 -> WE, 50.1545852418
1:1:1:1:1:1:0:1 -> PS, 76.9800909257
1:1:1:1:1:1:0:0 -> PS, 70.6723828293
1:1:1:0:1:1:1:1 -> WE, 45.2272120303
0:0:0:0:0:1:0:0 -> PS, 58.0545781151
1:0:0:0:1:0:0:0 -> PS, 54.9724660546
0:0:0:1:0:1:1:1 -> PS, 11.7650684445
1:0:1:1:1:1:0:0 -> PS, 51.2045825317
1:0:1:1:1:1:0:1 -> WE, 45.736749682
1:0:0:1:0:1:0:0 -> PS, 45.1965081705
0:0:1:0:1:0:0:0 -> PS, 82.1784834202
1:1:0:1:0:0:1:1 -> WE, 50.7853069526
1:0:1:0:0:1:0:0 -> PS, 85.6528117539
0:0:0:0:0:1:0:1 -> PS, 65.4130263075
0:1:0:0:1:1:1:1 -> WE, 47.4418025041
0:1:1:1:1:1:0:1 -> WE, 49.2901623116
0:0:0:1:1:1:0:0 -> PS, 25.7022240348
0:0:0:1:1:1:0:1 -> PS, 52.8145786305
0:0:1:0:1:0:0:1 -> PS, 91.6329775119
0:0:0:0:1:0:1:0 -> WE, 46.4253962824
1:0:0:1:0:1:0:1 -> WE, 50.6458395416
1:0:0:0:0:1:0:1 -> PS, 49.7849203962
1:0:0:0:0:1:0:0 -> PS, 49.6087450974
1:1:0:1:0:0:1:0 -> PS, 43.2902070756
1:1:0:0:1:1:0:0 -> WE, 43.3761776172
0:0:1:0:1:1:0:1 -> PS, 54.532905496
1:0:0:0:1:1:0:0 -> WE, 49.4746149475
0:1:0:0:1:0:0:1 -> PS, 36.6061506258
0:1:0:0:1:0:0:0 -> WE, 49.4746149475
0:1:0:1:0:1:0:0 -> WE, 45.9034057318
0:1:0:1:0:1:0:1 -> WE, 45.9034057318
0:0:0:0:0:0:1:0 -> WE, 45.9034057318
1:0:1:0:1:1:0:0 -> PS, 44.1114941484
1:1:0:0:0:1:0:1 -> WE, 49.3924592089
0:1:1:1:1:0:1:0 -> WE, 49.4746149475
0:1:0:0:0:0:1:1 -> PS, 43.7035448008
0:0:0:0:0:1:1:0 -> WE, 49.4746149475
1:1:1:1:0:0:0:1 -> WE, 50.6458395416
0:0:1:1:1:0:1:1 -> WE, 49.4746149475
0:0:1:1:1:0:1:0 -> WE, 49.4746149475
1:0:0:1:0:0:1:1 -> PS, 64.4283906773
0:1:0:1:1:1:1:0 -> WE, 43.1943995869
0:1:0:1:1:1:1:1 -> WE, 43.298272747
1:1:0:0:1:0:0:0 -> WE, 43.3761776172
1:1:1:1:1:1:1:0 -> WE, 47.0277424355
1:1:1:1:1:1:1:1 -> PS, 75.4024173092
0:0:0:0:1:1:1:0 -> PS, 44.5265156572
0:1:1:0:1:0:0:1 -> PS, 91.6329775119
0:0:0:0:1:1:0:0 -> WE, 44.9007869498
0:0:1:1:1:1:1:1 -> WE, 49.4746149475
1:0:0:0:1:0:0:1 -> PS, 50.873544523
1:0:0:0:1:1:0:1 -> PS, 51.6843131493
1:1:0:0:0:0:0:0 -> WE, 50.6458395416
0:0:1:0:0:0:0:0 -> PS, 65.0698644499
0:0:1:0:0:0:0:1 -> PS, 64.5932517255
0:1:1:1:1:0:0:0 -> WE, 49.4746149475
1:1:0:0:1:1:0:1 -> WE, 46.8609989488
0:0:0:1:1:0:1:0 -> PS, 66.4259510108
0:0:1:1:1:1:0:1 -> WE, 49.4746149475
0:1:0:0:0:1:1:0 -> PS, 42.7935747337
0:1:0:0:0:1:1:1 -> WE, 47.6213787446
0:0:0:0:1:1:1:1 -> WE, 49.4746149475
0:1:1:1:1:0:0:1 -> WE, 48.5523517681
1:0:1:1:1:0:0:1 -> PS, 95.170339435
0:1:0:1:0:1:1:0 -> WE, 45.9034057318
0:1:0:0:1:1:0:0 -> WE, 45.6232944285
0:1:0:0:1:1:0:1 -> WE, 46.5559663146
0:1:1:1:0:1:0:0 -> PS, 70.8555603361
1:0:1:1:0:1:0:1 -> PS, 90.0134677394
0:1:0:1:1:0:1:0 -> WE, 43.3761776172
1:1:0:1:0:0:0:0 -> WE, 50.2971258611
0:0:0:0:1:0:0:1 -> WE, 47.5905503393
0:0:0:1:1:0:1:1 -> PS, 114.973700666
0:0:1:1:1:1:0:0 -> WE, 49.4746149475
1:0:0:0:0:1:1:1 -> WE, 50.6458395416
0:0:1:0:1:1:0:0 -> PS, 50.0238856088
1:0:1:1:0:1:0:0 -> PS, 81.5924413645
0:1:1:0:0:0:0:1 -> WE, 50.6458395416
0:0:0:1:0:0:1:0 -> PS, 68.7830540927
1:1:1:1:0:0:0:0 -> WE, 50.6458395416
0:1:0:0:1:0:1:0 -> PS, 40.8791824372
0:1:0:0:1:0:1:1 -> PS, 40.1013263122
0:1:0:1:0:0:1:0 -> PS, 34.8291243867
0:1:1:0:1:1:1:1 -> WE, 43.3761776172
1:0:0:1:1:0:0:0 -> WE, 43.3761776172
1:1:0:0:0:0:0:1 -> WE, 50.6458395416
1:0:0:1:0:1:1:1 -> WE, 50.8317960896
1:1:0:1:0:0:0:1 -> PS, 53.485542379
0:0:0:0:1:0:1:1 -> PS, 19.9386300345
0:1:1:0:1:1:0:1 -> PS, 53.989292479
1:0:1:0:0:1:0:1 -> WE, 50.6458395416
1:0:0:0:0:0:1:1 -> WE, 51.2037091857
1:0:0:0:0:0:1:0 -> PS, 53.2754580489
1:1:1:1:0:1:1:1 -> PS, 73.7902563525
0:0:1:1:1:0:0:0 -> PS, 53.151410812
0:0:1:1:1:0:0:1 -> WE, 48.9476074164
0:0:1:1:1:1:1:0 -> WE, 49.4746149475
1:1:1:0:0:1:1:1 -> PS, 66.782115632
0:0:0:0:1:0:0:0 -> WE, 48.1964719424
0:0:0:0:0:0:0:1 -> PS, 52.1566814359
0:1:1:0:1:1:0:0 -> PS, 59.7166260108
0:0:1:1:0:1:0:1 -> PS, 45.0317186652
