student,currProb,course,session,priorTutorAction,reward,Interaction,TotalTime,cumul_TotalTime,cumul_TotalPSTime,cumul_DirectProofActionCount,CurrPro_avgProbTimePS,CurrPro_avgProbTimeDeviationPS,CurrPro_medianProbTime
0006-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0,47,535.244,535.244,535.244,31,402.2476603,754.2226573,226.8775
0006-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0,12,56.759,592.003,535.244,39,136.6535636,325.6199227,81.495
0006-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0,6,6.695,598.698,535.244,44,522.2272823,1017.360329,124.365
0006-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-94.07894737,87,635.59,1234.288,1170.834,110,252.0669214,419.3237917,119.459
0006-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0,30,236.803,236.803,236.803,30,318.9324098,568.136864,152.054
0006-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0,13,107.147,343.95,236.803,38,166.3043781,514.1781711,64.568
0006-F14,2.1.3.0,226-001-BARNES-F14,1,PS,161.8100398,19,86.43,430.38,323.233,51,225.4508831,312.2420144,126.088
0006-F14,3.1.1.0,226-001-BARNES-F14,1,WE,0,10,105.376,105.376,0,9,465.9649527,877.4636507,148.718
0006-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0,10,25.25,130.626,0,18,171.9041423,453.1682347,68.9985
0006-F14,3.1.3.0,226-001-BARNES-F14,1,PS,-43.26507302,32,166.742,297.368,166.742,46,304.7082155,374.6966858,179.1665
0006-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0,32,268.998,268.998,268.998,25,125.7966863,260.6786393,99.6955
0006-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0,9,47.158,316.156,268.998,33,213.6990389,510.6006303,63.2005
0006-F14,4.1.3.0,226-001-BARNES-F14,1,PS,-41.60887656,122,1242.01,1558.166,1511.008,133,705.756679,623.5281073,506.664
0006-F14,5.1.1.0,226-001-BARNES-F14,1,PS,0,53,402.849,402.849,402.849,47,113.2824938,220.7980538,67.9345
0006-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0,11,17.809,420.658,402.849,57,58.20607937,172.7969031,41.78
0006-F14,5.1.3.0,226-001-BARNES-F14,1,PS,11.68831169,62,838.069,1258.727,1240.918,110,537.6411391,788.7727724,354.852
0006-F14,6.1.1.0,226-001-BARNES-F14,1,PS,0,23,287.367,287.367,287.367,20,117.483358,185.2095986,78.412
0006-F14,6.1.2.0,226-001-BARNES-F14,1,WE,0,3,6.409,293.776,287.367,22,102.5303282,313.4651755,5.8105
0006-F14,6.1.3.0,226-001-BARNES-F14,1,PS,-22.76975361,120,1100.452,1394.228,1387.819,124,457.3999871,605.6075083,303.571
0008-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0,6,49.027,49.027,0,5,402.2476603,754.2226573,226.8775
0008-F14,1.0.2.0,226-001-BARNES-F14,1,PS,0,14,108.756,157.783,108.756,17,136.6535636,325.6199227,81.495
0008-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0,7,80.462,238.245,108.756,23,522.2272823,1017.360329,124.365
0008-F14,1.0.4.0,226-001-BARNES-F14,1,PS,40.78947368,14,103.709,341.954,212.465,35,252.0669214,419.3237917,119.459
0008-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0,29,164.859,164.859,164.859,23,318.9324098,568.136864,152.054
0008-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0,7,29.178,194.037,164.859,29,166.3043781,514.1781711,64.568
0008-F14,2.1.3.0,226-001-BARNES-F14,1,PS,26.94161875,20,118.697,312.734,283.556,44,225.4508831,312.2420144,126.088
0008-F14,3.1.1.0,226-001-BARNES-F14,1,PS,0,26,160.443,160.443,160.443,21,465.9649527,877.4636507,148.718
0008-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0,11,69.079,229.522,160.443,31,171.9041423,453.1682347,68.9985
0008-F14,3.1.3.0,226-001-BARNES-F14,1,PS,22.75434446,27,88.149,317.671,248.592,53,304.7082155,374.6966858,179.1665
0008-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0,21,110.795,110.795,110.795,18,125.7966863,260.6786393,99.6955
0008-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0,9,37.236,148.031,110.795,26,213.6990389,510.6006303,63.2005
0008-F14,4.1.3.0,226-001-BARNES-F14,1,PS,9.514563107,32,277.579,425.61,388.374,56,705.756679,623.5281073,506.664
0008-F14,5.1.1.0,226-001-BARNES-F14,1,PS,0,15,81.634,81.634,81.634,12,113.2824938,220.7980538,67.9345
0008-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0,11,38.562,120.196,81.634,22,58.20607937,172.7969031,41.78
0008-F14,5.1.3.0,226-001-BARNES-F14,1,PS,0,35,372.749,492.945,454.383,31,537.6411391,788.7727724,354.852
0008-F14,6.1.1.0,226-001-BARNES-F14,1,PS,0,24,122.866,122.866,122.866,23,117.483358,185.2095986,78.412
0008-F14,6.1.2.0,226-001-BARNES-F14,1,WE,0,3,14.627,137.493,122.866,25,102.5303282,313.4651755,5.8105
0008-F14,6.1.3.0,226-001-BARNES-F14,1,PS,0,35,189.72,327.213,312.586,55,457.3999871,605.6075083,303.571
0009-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0,87,784.898,784.898,784.898,72,402.2476603,754.2226573,226.8775
0009-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0,50,131.532,916.43,784.898,95,136.6535636,325.6199227,81.495
0009-F14,1.0.3.0,226-001-BARNES-F14,1,PS,0,132,1157.812,2074.242,1942.71,207,522.2272823,1017.360329,124.365
0009-F14,1.0.4.0,226-001-BARNES-F14,2,PS,-49.34210526,42,160.275,2234.517,2102.985,246,252.0669214,419.3237917,119.459
