student,currProb,course,session,priorTutorAction,reward,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8
0006-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0,1,2,3,1,2,3,0,3
0006-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0,1,1,0,1,1,3,0,2
0006-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0,1,1,0,1,0,3,0,2
0006-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-94.07894737,3,2,3,1,3,3,0,0
0006-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0,1,2,2,1,2,3,0,3
0006-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0,1,1,0,3,1,3,0,3
0006-F14,2.1.3.0,226-001-BARNES-F14,1,PS,161.8100398,1,0,1,3,1,1,0,0
0006-F14,3.1.1.0,226-001-BARNES-F14,1,WE,0,0,1,0,3,0,1,0,2
0006-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0,0,1,0,3,0,1,0,3
0006-F14,3.1.3.0,226-001-BARNES-F14,1,PS,-43.26507302,1,1,2,3,2,1,0,1
0006-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0,1,2,2,1,2,3,0,3
0006-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0,1,1,0,1,0,3,0,3
0006-F14,4.1.3.0,226-001-BARNES-F14,1,PS,-41.60887656,3,2,3,1,3,3,0,0
0006-F14,5.1.1.0,226-001-BARNES-F14,1,PS,0,1,2,3,1,2,3,0,1
0006-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0,1,1,0,0,0,3,0,2
0006-F14,5.1.3.0,226-001-BARNES-F14,1,PS,11.68831169,3,2,3,0,2,3,0,1
0006-F14,6.1.1.0,226-001-BARNES-F14,1,PS,0,1,2,2,1,1,3,0,2
0006-F14,6.1.2.0,226-001-BARNES-F14,1,WE,0,1,1,0,0,0,3,0,1
0006-F14,6.1.3.0,226-001-BARNES-F14,1,PS,-22.76975361,3,2,3,0,3,3,0,0
0008-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0,0,1,0,3,0,1,0,3
0008-F14,1.0.2.0,226-001-BARNES-F14,1,PS,0,0,2,1,3,1,3,0,2
0008-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0,0,1,0,3,0,3,0,2
0008-F14,1.0.4.0,226-001-BARNES-F14,1,PS,40.78947368,1,2,1,3,1,3,0,0
0008-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0,1,1,2,1,2,1,0,3
0008-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0,1,1,0,1,0,1,0,3
0008-F14,2.1.3.0,226-001-BARNES-F14,1,PS,26.94161875,1,1,1,1,1,1,0,0
0008-F14,3.1.1.0,226-001-BARNES-F14,1,PS,0,1,1,2,1,1,1,0,2
0008-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0,1,1,0,3,0,1,0,3
0008-F14,3.1.3.0,226-001-BARNES-F14,1,PS,22.75434446,1,0,1,3,1,0,0,1
